"Year" "Month" "SunRadiation"
61 1 3.4
61 2 3
61 3 3.6
61 4 3.7
61 5 4.9
61 6 5.4
61 7 5.1
61 8 5.3
61 9 5.7
61 10 4.3
61 11 2.6
61 12 2
62 1 2.7
62 2 2.8
62 3 3.9
62 4 5
62 5 5
62 6 5.5
62 7 5.3
62 8 5.6
62 9 4.6
62 10 3.6
62 11 2.8
62 12 2.7
63 1 3.1
63 2 3.6
63 3 3.8
63 4 5
63 5 5.5
63 6 5.8
63 7 5.7
63 8 5.2
63 9 5.7
63 10 5.8
63 11 2.8
63 12 2.8
64 1 3.3
64 2 3.8
64 3 4.1
64 4 4.4
64 5 5.3
64 6 5.5
64 7 5.5
64 8 5.6
64 9 4.9
64 10 4.8
64 11 3.9
64 12 1.8
65 1 2.8
65 2 3.5
65 3 3.5
65 4 4.6
65 5 5.8
65 6 5.7
65 7 5.9
65 8 5.3
65 9 4.8
65 10 4.5
65 11 3.2
65 12 2.3
66 1 2.7
66 2 2.9
66 3 4.4
66 4 3.8
66 5 5.5
66 6 5.8
66 7 5.8
66 8 5.5
66 9 4.6
66 10 4.6
66 11 2.5
66 12 2.3
67 1 2.5
67 2 3.7
67 3 4.2
67 4 5
67 5 5.1
67 6 5.5
67 7 5.1
67 8 5.3
67 9 5.2
67 10 4.1
67 11 2.4
67 12 2.1
68 1 3.2
68 2 4.4
68 3 4.7
68 4 5.1
68 5 4.6
68 6 5.5
68 7 5.5
68 8 5.1
68 9 5
68 10 4.3
68 11 2.4
68 12 2
69 1 2.4
69 2 3.3
69 3 4.6
69 4 4.8
69 5 5.6
69 6 5.2
69 7 4.9
69 8 6.1
69 9 4.5
69 10 4.7
69 11 2.3
69 12 2.2
70 1 2.8
70 2 3.6
70 3 3.9
70 4 4.9
70 5 5.7
70 6 5.4
70 7 4.9
70 8 5.9
70 9 5.5
70 10 4
70 11 2.1
70 12 2.1
71 1 2.6
71 2 3.2
71 3 4.1
71 4 5.5
71 5 5.4
71 6 5.8
71 7 5.3
71 8 5.6
71 9 4.4
71 10 4.8
71 11 3.4
71 12 2.3
72 1 3.1
72 2 3.3
72 3 3.8
72 4 5.2
72 5 5.2
72 6 5.3
72 7 5
72 8 5.1
72 9 4.4
72 10 3.6
72 11 2
72 12 1.7
73 1 2.8
73 2 3.2
73 3 3.5
73 4 3.8
73 5 4.3
73 6 5.3
73 7 5.2
73 8 5.5
73 9 5.1
