"Year" "Temp" "CO2"
1961 0.0745 317.65
1962 0.0979 318.45
1963 0.1272 318.99
1964 -0.1399 319.61
1965 -0.0732 320.03
1966 -0.0298 321.37
1967 -0.0142 322.18
1968 -0.0213 323.05
1969 0.0786 324.62
1970 0.0324 325.68
1971 -0.0643 326.32
1972 0.0178 327.46
1973 0.1429 329.68
1974 -0.1047 330.17
1975 -0.0319 331.09
1976 -0.1107 332.06
1977 0.1282 333.78
1978 0.0503 335.4
1979 0.1406 336.78
1980 0.1887 338.7
1981 0.2293 340.11
1982 0.1133 341.21
1983 0.2716 342.84
1984 0.0798 344.4
1985 0.0625 345.87
1986 0.1496 347.19
1987 0.287 348.98
1988 0.2888 351.45
1989 0.2087 352.89
1990 0.37 354.16
